Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/incidents,10,10,2020.8119000017177,2037.22815000001,2020.8119000017177,2050.450100003218,0.0,0.9915549940040567,0.9915549940040567,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
,Aggregated,10,10,2020.8119000017177,2037.22815000001,2020.8119000017177,2050.450100003218,0.0,0.9915549940040567,0.9915549940040567,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100,2100
